,total_images,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest
0,20,13000000.0,108.0,3,2.7,16.0,51.0,8,,False,False,25.0,,18863.0,16028.0,1.0,482.0,2.0,755.0
1,10,5196000.0,56.0,2,,5.0,34.3,4,,False,False,8.3,0.0,21741.0,13933.0,1.0,90.0,2.0,574.0
2,0,64900000.0,159.0,3,,14.0,,9,,False,False,,0.0,28098.0,6800.0,2.0,84.0,3.0,234.0
3,2,10000000.0,100.0,2,3.03,14.0,32.0,13,,False,False,41.0,,31856.0,8098.0,2.0,112.0,1.0,48.0
4,5,7915000.0,71.6,2,,24.0,,22,,False,False,18.9,2.0,23982.0,11634.0,0.0,,0.0,
5,18,5400000.0,61.0,3,2.5,9.0,43.6,7,,False,False,6.5,2.0,50898.0,15008.0,0.0,,0.0,
6,5,5050000.0,39.6,1,2.67,12.0,20.3,3,,False,False,8.5,,38357.0,13878.0,1.0,310.0,2.0,553.0
7,16,4650000.0,39.0,1,,14.0,20.5,5,,False,False,7.6,1.0,12900.0,14259.0,1.0,590.0,1.0,296.0
8,11,6700000.0,82.0,3,3.05,5.0,55.6,1,,False,False,9.0,,22108.0,10698.0,3.0,420.0,0.0,
9,6,4180000.0,36.0,1,,17.0,16.5,7,,False,False,11.0,1.0,33564.0,14616.0,0.0,,1.0,859.0
10,8,3250000.0,31.0,1,2.5,5.0,19.4,2,,False,False,5.6,1.0,44060.0,10842.0,1.0,759.0,0.0,
11,16,14200000.0,121.0,3,2.75,16.0,76.0,8,,False,False,12.0,,38900.0,12843.0,0.0,,0.0,
12,13,3200000.0,31.6,1,,5.0,16.9,2,,False,False,5.7,1.0,36064.0,9722.0,1.0,248.0,0.0,
13,11,2950000.0,32.0,1,2.6,9.0,17.7,9,,False,False,6.1,,15414.0,14211.0,2.0,517.0,1.0,190.0
14,8,6500000.0,97.2,2,,3.0,46.5,1,,False,False,19.6,0.0,20052.0,2336.0,3.0,411.0,3.0,124.0
15,3,6800000.0,76.0,2,2.75,23.0,39.0,18,False,False,False,15.0,2.0,34967.0,14640.0,0.0,,1.0,564.0
16,6,4050000.0,60.0,4,,5.0,43.0,4,,False,False,7.0,,11580.0,10510.0,0.0,,1.0,95.0
17,20,7100000.0,70.0,3,2.6,17.0,49.0,11,,False,False,9.2,0.0,29197.0,11456.0,2.0,452.0,1.0,779.0
18,9,8600000.0,100.0,3,,19.0,52.0,15,False,False,False,11.0,0.0,30394.0,11526.0,1.0,532.0,1.0,896.0
19,8,7200000.0,67.9,2,2.8,16.0,38.1,4,,False,False,13.4,2.0,32888.0,12944.0,0.0,,0.0,
20,7,4990000.0,60.0,3,,5.0,39.0,4,,False,False,6.0,0.0,11349.0,12889.0,0.0,,1.0,426.0
21,3,3290000.0,33.0,1,2.55,16.0,14.0,3,,False,False,8.0,,13943.0,12739.0,0.0,,0.0,
22,6,15500000.0,149.0,5,,5.0,104.0,4,,False,False,17.0,,23670.0,3502.0,0.0,,1.0,779.0
23,13,3790000.0,45.0,2,,9.0,27.0,9,False,False,False,6.3,2.0,49574.0,16461.0,1.0,459.0,0.0,
24,15,5200000.0,54.4,2,2.75,9.0,29.7,2,,False,False,8.8,2.0,13413.0,12209.0,0.0,,1.0,1175.0
25,16,7900000.0,74.0,3,,14.0,59.0,8,False,False,False,12.0,5.0,37715.0,12612.0,1.0,725.0,1.0,759.0
26,13,9330000.0,48.0,2,3.0,4.0,28.0,4,,False,False,7.5,,15016.0,10822.0,0.0,,1.0,492.0
27,13,5350000.0,40.0,1,,22.0,,3,,False,False,,1.0,30471.0,11603.0,1.0,620.0,1.0,1152.0
28,17,5200000.0,50.6,2,2.65,9.0,30.3,7,,False,False,7.0,,30011.0,12872.0,0.0,,0.0,
29,17,6600000.0,52.1,2,2.6,24.0,29.7,9,,False,False,8.3,2.0,15114.0,12702.0,0.0,,0.0,
30,10,3600000.0,33.83,1,,24.0,15.35,6,,False,False,9.5,,21460.0,16788.0,0.0,,1.0,170.0
31,1,3050000.0,30.8,1,2.5,9.0,18.0,7,,False,False,6.0,,45341.0,16603.0,1.0,675.0,0.0,
32,7,45000000.0,161.0,3,3.2,8.0,38.0,4,,False,False,50.0,,32537.0,6589.0,0.0,,3.0,99.0
33,20,11795000.0,136.0,6,3.0,2.0,94.0,2,,False,False,11.0,1.0,16510.0,6582.0,1.0,526.0,0.0,
34,6,3320000.0,36.5,1,,24.0,14.0,6,,False,False,12.0,0.0,33331.0,14495.0,0.0,,0.0,
35,20,7400000.0,58.8,2,2.6,10.0,33.7,9,,False,False,10.7,,10643.0,12260.0,0.0,,1.0,998.0
36,14,4350000.0,41.0,1,2.8,7.0,18.1,4,False,False,False,11.1,2.0,13772.0,9626.0,1.0,271.0,1.0,439.0
37,11,3900000.0,33.0,1,2.6,9.0,19.0,5,,False,False,7.0,,12988.0,15579.0,0.0,,2.0,898.0
38,15,6300000.0,46.5,1,,13.0,,13,,False,False,,,11125.0,14501.0,0.0,,0.0,
39,18,7990000.0,74.0,2,,4.0,43.0,4,,False,False,20.0,,22568.0,4288.0,1.0,363.0,0.0,
40,2,20000000.0,118.0,3,3.0,9.0,68.0,7,,False,False,16.0,,26055.0,4800.0,1.0,648.0,1.0,779.0
41,7,4400000.0,57.0,3,2.5,5.0,39.0,2,,False,False,7.0,,35361.0,10484.0,0.0,,0.0,
42,9,3400000.0,30.0,1,,5.0,16.0,1,,False,False,7.0,,39053.0,8313.0,1.0,382.0,0.0,
43,20,4850000.0,57.5,3,2.5,9.0,39.0,8,,False,False,6.2,,33623.0,12267.0,1.0,334.0,1.0,333.0
44,19,4950000.0,44.0,2,2.7,23.0,21.0,19,,False,False,15.0,2.0,15749.0,14545.0,0.0,,0.0,
45,7,4300000.0,62.1,3,2.55,5.0,43.5,1,False,False,False,7.3,0.0,19646.0,15572.0,1.0,231.0,2.0,854.0
46,9,4350000.0,37.0,1,,19.0,18.0,6,,False,False,10.7,,34324.0,14192.0,0.0,,0.0,
47,9,10949000.0,68.0,1,,10.0,,6,,False,False,,,,,,,,
48,13,5200000.0,46.3,2,3.0,5.0,27.8,5,,False,False,8.0,,13334.0,9319.0,0.0,,1.0,682.0
49,19,4999000.0,52.0,2,2.61,9.0,30.0,6,,False,False,9.0,2.0,12444.0,15035.0,0.0,,1.0,881.0
50,9,6450000.0,67.7,3,,9.0,40.0,4,,False,False,8.0,1.0,32668.0,13832.0,0.0,,0.0,
51,10,3500000.0,40.4,1,2.75,9.0,20.0,7,False,False,False,10.0,1.0,32574.0,11648.0,1.0,511.0,0.0,
52,3,3500000.0,29.5,1,2.5,5.0,15.6,2,,False,False,5.5,1.0,12921.0,7303.0,0.0,,0.0,
53,14,5150000.0,47.0,2,2.75,9.0,28.1,9,False,False,False,7.0,2.0,10142.0,13743.0,2.0,751.0,1.0,881.0
54,20,8780000.0,78.3,3,2.5,15.0,51.0,9,,False,False,11.0,,52108.0,16333.0,0.0,,1.0,746.0
55,11,11700000.0,80.0,3,,5.0,55.1,3,,False,False,11.0,0.0,11248.0,8767.0,1.0,666.0,0.0,
56,32,9600000.0,90.0,4,,5.0,67.0,2,,False,False,8.0,,23277.0,2818.0,0.0,,0.0,
57,16,3800000.0,38.6,1,,9.0,18.0,6,,False,False,8.4,2.0,36450.0,13364.0,0.0,,0.0,
58,7,3700000.0,33.0,1,,14.0,18.0,2,,False,False,6.2,1.0,49214.0,16140.0,0.0,,0.0,
59,14,4800000.0,35.0,1,2.7,25.0,17.0,9,,False,False,9.0,,42499.0,9719.0,0.0,,0.0,
60,15,6900000.0,77.2,4,2.6,9.0,61.0,1,,False,False,6.0,,12403.0,10787.0,0.0,,1.0,713.0
61,12,4900000.0,32.0,1,,25.0,15.0,5,,False,False,9.0,,52480.0,15598.0,0.0,,1.0,464.0
62,9,10500000.0,124.1,5,3.2,4.0,79.4,3,,False,False,20.0,0.0,26825.0,5527.0,1.0,384.0,0.0,
63,9,9490000.0,80.0,3,2.55,10.0,46.0,7,,False,False,11.0,1.0,35958.0,9860.0,0.0,,0.0,
64,4,4590000.0,40.0,1,,6.0,18.0,1,,False,False,10.0,0.0,20062.0,6175.0,1.0,241.0,0.0,
65,5,4000000.0,21.4,1,2.9,8.0,8.3,7,,False,False,6.3,,27089.0,5791.0,2.0,488.0,1.0,286.0
66,8,3850000.0,42.0,2,,5.0,27.0,4,,False,False,6.5,,43019.0,8535.0,0.0,,0.0,
67,18,10999000.0,97.2,3,2.5,16.0,,16,,False,False,18.3,5.0,19426.0,21138.0,0.0,,2.0,390.0
68,10,8520000.0,84.7,3,3.2,5.0,55.9,4,,False,False,8.4,1.0,37889.0,9816.0,1.0,156.0,0.0,
69,8,4500000.0,31.0,1,2.5,9.0,17.0,4,,False,False,5.0,,35445.0,9089.0,0.0,,2.0,439.0
70,10,6200000.0,67.0,3,,6.0,42.5,2,False,False,False,8.2,2.0,37836.0,12250.0,1.0,576.0,1.0,556.0
71,20,33000000.0,180.0,3,2.9,9.0,86.0,8,False,False,False,24.0,4.0,25689.0,4264.0,1.0,633.0,0.0,
72,2,4300000.0,48.0,1,,22.0,14.0,5,,False,False,23.8,,16951.0,15747.0,0.0,,1.0,1097.0
73,20,12490000.0,87.8,3,,12.0,45.1,3,,False,False,24.0,1.0,32746.0,13845.0,0.0,,1.0,516.0
74,20,4800000.0,65.9,3,2.55,9.0,48.5,8,,False,False,6.3,,44855.0,17093.0,0.0,,0.0,
75,6,6210000.0,55.0,2,2.5,11.0,31.9,3,,False,False,8.3,,31398.0,11990.0,0.0,,0.0,
76,0,3200000.0,32.0,1,2.5,9.0,18.0,3,,False,False,8.0,,49587.0,16425.0,1.0,215.0,0.0,
77,10,3800000.0,33.7,1,2.65,17.0,15.1,3,,False,False,7.3,,35452.0,15458.0,0.0,,1.0,998.0
78,16,6500000.0,51.8,2,3.45,6.0,25.6,2,,False,False,7.3,1.0,20502.0,3618.0,2.0,533.0,1.0,812.0
79,11,13310800.0,85.1,2,2.7,10.0,31.52,5,,False,False,26.85,1.0,31460.0,4263.0,1.0,141.0,3.0,133.0
80,8,4800000.0,40.0,2,,3.0,29.0,2,,False,False,6.0,,23371.0,2913.0,0.0,,2.0,729.0
81,8,6500000.0,32.6,1,,5.0,18.5,5,,False,False,5.5,,24764.0,5448.0,0.0,,0.0,
82,9,2990000.0,30.0,1,2.5,9.0,20.0,9,,False,False,5.6,0.0,30067.0,6262.0,0.0,,1.0,332.0
83,6,8290000.0,77.0,2,2.77,16.0,40.0,5,,False,False,10.0,1.0,30012.0,7384.0,0.0,,1.0,260.0
84,10,27700000.0,179.6,5,2.85,25.0,97.2,25,,False,False,33.8,2.0,19424.0,4489.0,0.0,,1.0,806.0
85,20,4790000.0,35.5,1,2.65,25.0,17.0,20,,False,False,9.0,,36688.0,11841.0,0.0,,2.0,981.0
86,9,5300000.0,53.0,2,2.65,12.0,31.5,6,,False,False,7.6,,10128.0,12247.0,2.0,633.0,1.0,878.0
87,9,3900000.0,45.0,2,,5.0,29.0,3,,False,False,6.0,,39793.0,9052.0,0.0,,0.0,
88,6,8090000.0,81.22,3,2.64,24.0,42.9,10,,False,False,12.72,1.0,17755.0,16576.0,0.0,,1.0,594.0
89,1,8200000.0,80.0,3,4.15,3.0,44.2,2,,False,False,12.2,,20562.0,3167.0,2.0,344.0,1.0,838.0
90,8,96000000.0,317.0,4,3.5,3.0,183.0,3,,False,False,,1.0,22673.0,1771.0,2.0,508.0,3.0,366.0
91,11,10990000.0,80.0,2,2.75,22.0,34.0,19,,False,False,19.0,2.0,34967.0,14640.0,0.0,,1.0,564.0
92,15,7250000.0,75.75,2,2.7,22.0,40.61,3,,False,False,15.0,2.0,51531.0,14184.0,0.0,,0.0,
93,14,7050000.0,66.0,3,3.0,4.0,37.8,4,False,False,False,11.0,,26235.0,4937.0,0.0,,1.0,1013.0
94,2,5000000.0,42.9,1,2.75,23.0,18.9,8,False,False,False,7.9,1.0,43269.0,13145.0,1.0,417.0,0.0,
95,2,5600000.0,66.0,3,2.5,9.0,48.0,9,,False,False,6.3,,45589.0,17018.0,1.0,762.0,0.0,
96,17,6500000.0,67.4,3,2.65,17.0,40.1,6,False,False,False,10.3,1.0,33745.0,14844.0,0.0,,1.0,357.0
97,11,3750000.0,35.1,1,2.75,23.0,15.9,1,,False,False,9.8,,22314.0,17642.0,0.0,,1.0,68.0
